,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial
0,0.47761479697835574,1.333377852574813e-13,5.0,51400.0,1e-07,0.08757046428873916
1,0.608582276707443,-1.5751289161869408e-14,3.0,30600.0,1e-07,0.5632655593826975
2,0.09044495269768413,5.706783509510163e-09,3.0,30200.0,1e-07,0.2037545034301227
3,0.09704092465511795,-1.5909495942878493e-13,3.0,30200.0,1e-07,0.16024030195830952
4,0.32820277440748913,2.031526336043754e-11,2.0,21200.0,1e-07,0.3135237722468879
5,0.9548442563998826,-2.5159208966174518e-08,1.0,17600.0,1e-07,0.9528895631579649
6,0.3077335411005482,3.5060843117662444e-13,4.0,41200.0,1e-07,0.06293856422049471
7,0.6473628237732961,-8.206629820151079e-14,3.0,29500.0,1e-07,0.7486656047091834
8,0.18829604511788034,9.967407894060157e-12,6.0,57200.0,1e-07,0.5610074109380698
9,0.4853517243209935,3.522171228742717e-08,4.0,38800.0,1e-07,0.8837764143296539
10,0.8349965513669079,4.55867255055864e-09,5.0,48700.0,1e-07,0.9760056306341821
11,0.8794720829235226,2.136381033190915e-08,2.0,21700.0,1e-07,0.899204156375034
12,0.7118396921480821,5.579642564645937e-08,5.0,49200.0,1e-07,0.4623087170449617
13,0.5643049424432525,-2.803412502139224e-10,2.0,26200.0,1e-07,0.5363427655408652
14,0.5187264326377992,-3.148825442056413e-08,1.0,12000.0,1e-07,0.5210985491048954
15,0.2573488611698265,1.023777153330574e-09,3.0,49200.0,1e-07,0.18106541699003875
16,0.6957708029521666,8.091595969650367e-13,3.0,29900.0,1e-07,0.8201985695807068
17,0.11989864099219859,2.79360735933043e-13,7.0,67500.0,1e-07,0.4239296054981714
18,0.7155421161189499,-3.315440255668989e-09,4.0,38600.0,1e-07,0.5347988322252408
19,0.7984851048179495,4.758528695733566e-08,3.0,30100.0,1e-07,0.9679547307957602
20,0.5794571854224451,2.1166055019783414e-12,3.0,30100.0,1e-07,0.4926015827800766
21,0.850695117035253,-1.3877590049338195e-11,3.0,33300.0,1e-07,0.7833404040208292
22,0.3292044235787865,-1.7984736963572168e-12,3.0,33600.0,1e-07,0.38211736029657684
23,0.4444045599629584,-8.638138399019724e-10,4.0,38800.0,1e-07,0.24729094449975064
24,0.6179034133776612,9.086711383332613e-10,5.0,49400.0,1e-07,0.19340177693142457
25,0.24777592732246861,1.213786016140972e-14,3.0,27000.0,1e-07,0.3007032926858759
26,0.44810184429589267,1.0789424909063428e-12,5.0,42500.0,1e-07,0.36579645807329086
27,0.27902330104482276,-2.692203127097059e-10,2.0,18300.0,1e-07,0.2551291148741639
28,0.5989197584527387,-3.262998638647874e-10,7.0,57700.0,1e-07,0.18849133065874035
29,0.2370849214975491,2.1649348980190553e-14,3.0,27400.0,1e-07,0.12342538343681675
30,0.39308507746330956,6.13398221105399e-15,4.0,35000.0,1e-07,0.19240345984374252
31,0.35778292213666735,2.631228568361621e-13,4.0,34500.0,1e-07,0.05340772442904651
32,0.1457142025118615,1.4033300389793002e-10,3.0,26900.0,1e-07,0.06081856185779111
33,0.8330238425674619,2.386939396137322e-10,4.0,34200.0,1e-07,0.9399298919753635
34,0.7411478935576223,-9.675385363033806e-08,4.0,34300.0,1e-07,0.38530093775224017
35,0.6493403822858738,2.4944580775954073e-10,3.0,26700.0,1e-07,0.7073137195651327
36,0.16364995282891845,1.7802981516074068e-08,3.0,26300.0,1e-07,0.02425222901041424
37,0.9154785382111358,2.7098087662658088e-11,3.0,26300.0,1e-07,0.985318837162703
38,0.5558633093875112,7.184493295425698e-10,4.0,33900.0,1e-07,0.5169970775305122
39,0.2378647741706682,-4.016611262341874e-14,5.0,43100.0,1e-07,0.6173825035466105
40,0.4806883911744501,-7.259853910743241e-08,3.0,26400.0,1e-07,0.5023488450061199
41,0.8309547480350262,-2.0030721872843493e-13,3.0,26700.0,1e-07,0.7670107834611496
42,0.13802599179622918,6.489043002152334e-08,4.0,34600.0,1e-07,0.0581347238119263
43,0.17463794112886596,-1.082359896154017e-12,4.0,33700.0,1e-07,0.15634167136582844
44,0.13804986404590355,-9.43689570931383e-14,3.0,27000.0,1e-07,0.21021410978378097
45,0.09514025520907068,5.928970090492841e-09,4.0,34000.0,1e-07,0.19258200713673979
46,0.788379169767354,6.658562590189376e-14,3.0,26500.0,1e-07,0.7458159620942624
47,0.844509138036868,-3.3302452709556285e-08,3.0,26300.0,1e-07,0.7676074539662465
48,0.10944654716146907,4.179653151359375e-12,3.0,26300.0,1e-07,0.004044748369817053
49,0.20221613613414788,3.870109406556299e-10,2.0,18200.0,1e-07,0.2316964077751238
50,0.02167120746500008,-3.544315969146103e-08,2.0,18800.0,1e-07,0.0537373809302647
51,0.9854489759788232,-3.801455528140707e-08,2.0,18800.0,1e-07,0.9583657462824496
52,0.46155535760468247,1.1102230246251565e-16,2.0,18500.0,1e-07,0.4578365192240784
53,0.3839466970424243,1.5411748960358906e-10,4.0,34200.0,1e-07,0.49138403445980283
54,0.5916102680113986,6.897394721344652e-10,3.0,26600.0,1e-07,0.6499705071645229
55,0.22463054139145203,6.182270709254034e-09,3.0,26500.0,1e-07,0.09681538213505914
56,0.29396173923530816,9.716799309611446e-10,4.0,34300.0,1e-07,0.11439325433076997
57,0.2802109477882018,-5.4474103325374834e-08,3.0,25900.0,1e-07,0.35818828890873733
