,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial,Distancia,Convergiu
0,-1.1102336030873652,-1.1102230246251565e-16,5.0,119400.0,1e-09,0.8328045454393712,1.0,1.0
1,-0.5300247887435022,-5.551115123125783e-17,6.0,138400.0,1e-09,0.13733858181308434,1.0,1.0
2,-1.6538389386074452,4.2310599468464716e-13,13.0,176400.0,1e-09,0.44581211059067793,1.0,1.0
3,-1.197208501991743,-2.220446049250313e-16,9.0,135800.0,1e-09,0.14499031464821233,1.0,1.0
4,-0.7918494221543007,-4.551914400963142e-15,6.0,219200.0,1e-09,0.005407201638135795,1.0,1.0
5,-2.496166714792271,-1.1657341758564144e-15,11.0,161500.0,1e-09,0.8975090390906526,1.0,1.0
6,-0.6863997842815033,0.0,5.0,106200.0,1e-09,0.8013893381670996,1.0,1.0
7,-0.7795285189572548,-2.0095036745715333e-14,13.0,167000.0,1e-09,0.030993393616691733,1.0,1.0
8,-0.2393073453917625,-1.762479051592436e-15,5.0,103800.0,1e-09,0.8619304073950894,1.0,1.0
9,-1.0880460132709069,5.551115123125783e-17,6.0,111500.0,1e-09,0.6175693368820764,1.0,1.0
10,-0.5115592337537517,-5.551115123125783e-17,5.0,103900.0,1e-09,0.858225681754212,1.0,1.0
11,-1.1557509270331476,-5.551115123125783e-17,10.0,142600.0,1e-09,0.6392359705381021,1.0,1.0
12,-1.026060358798355,3.2813396444453247e-10,11.0,150400.0,1e-09,0.45928903088936346,1.0,1.0
13,-3.1651566824597537,-2.0990742477522417e-10,8.0,126600.0,1e-09,0.7809319636582175,1.0,1.0
14,-1.022021645352623,1.1102230246251565e-16,8.0,125900.0,1e-09,0.32512624466251516,1.0,1.0
15,-0.4294645886663793,0.0,5.0,102400.0,1e-09,0.7591730143866785,1.0,1.0
16,-0.95966200282891,-9.992007221626409e-15,10.0,140700.0,1e-09,0.08172673496051042,1.0,1.0
17,-0.6434510759279272,-6.530476159838372e-11,5.0,103400.0,1e-09,0.699656344512368,1.0,1.0
18,-1.5946467885907234,-2.886579864025407e-14,35.0,336500.0,1e-09,0.15424909001830567,1.0,1.0
19,-0.46526086582506543,-7.605027718682322e-15,4.0,94700.0,1e-09,0.6813091923477406,1.0,1.0
20,-6.047575547941598,-1.5278013298924975e-09,10.0,171600.0,1e-09,0.5128270418311939,1.0,1.0
21,-1.2997373086919644,-1.1102230246251565e-16,5.0,102900.0,1e-09,0.3809301254190406,1.0,1.0
22,-0.3020214284840307,-8.749112545558546e-13,4.0,95100.0,1e-09,0.31363417285302964,1.0,1.0
23,-0.8290197070927439,1.1102230246251565e-16,4.0,96000.0,1e-09,0.47003204660434694,1.0,1.0
24,-1.0791307029552097,4.168720924013769e-10,4.0,94900.0,1e-09,0.9091547669248295,1.0,1.0
25,-2.0159668059620808,1.1102230246251565e-16,4.0,95000.0,1e-09,0.549842304121137,1.0,1.0
26,-1.0822297265919523,-1.320381581848551e-10,4.0,169400.0,1e-09,0.9347105416475338,1.0,1.0
27,-0.9133191413074441,0.0,5.0,105700.0,1e-09,0.5452548831639047,1.0,1.0
28,-1.706305702969597,-1.1102230246251565e-16,17.0,194300.0,1e-09,0.7609263319057467,1.0,1.0
29,-0.8157699805002367,-5.1958437552457326e-14,9.0,134000.0,1e-09,0.4298528053973242,1.0,1.0
30,-1.0945674568949948,-7.689366920970997e-10,6.0,139400.0,1e-09,0.12588552283446452,1.0,1.0
31,-2.71068474694762,-6.661338147750939e-15,8.0,128500.0,1e-09,0.8233676125391346,1.0,1.0
32,-1.0511592715789577,1.1102230246251565e-16,8.0,126600.0,1e-09,0.6539784502399537,1.0,1.0
33,-0.2705786854806408,0.0,4.0,95400.0,1e-09,0.02510817471586957,1.0,1.0
34,-0.7117125474139083,-1.1102230246251565e-16,6.0,110600.0,1e-09,0.1625832003012958,1.0,1.0
35,-1.0234845893943603,1.1102230246251565e-16,5.0,101500.0,1e-09,0.8579725451745717,1.0,1.0
36,-0.6670612225813426,0.0,5.0,102500.0,1e-09,0.43872613065956145,1.0,1.0
37,-0.5583183871507914,-2.7755575615628914e-17,9.0,132600.0,1e-09,0.07292689221185567,1.0,1.0
38,-1.0058420234664973,8.654188476953095e-14,5.0,103100.0,1e-09,0.5308726241858251,1.0,1.0
39,-2.833821119623417,-2.6258994978434202e-12,9.0,132900.0,1e-09,0.3671050304511615,1.0,1.0
40,-12.236593429082136,-1.27675647831893e-14,38.0,355800.0,1e-09,0.36961049472367424,1.0,1.0
41,-1.0847232388896697,-9.747076479271755e-10,13.0,163100.0,1e-09,0.046108440335118295,1.0,1.0
42,-2.130977074223712,-6.661338147750939e-16,8.0,125900.0,1e-09,0.26574406630575786,1.0,1.0
43,-0.6014490878228459,-1.3600232051658168e-15,5.0,102700.0,1e-09,0.3817736166911553,1.0,1.0
44,-0.49047745471748355,-1.5806800313100666e-12,4.0,94700.0,1e-09,0.761108486844875,1.0,1.0
45,-0.698923941493889,1.1102230246251565e-16,6.0,110300.0,1e-09,0.965782016121259,1.0,1.0
