,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial
78,0.6344205377748877,-4.2276606326829835e-08,9.0,33601.0,1e-07,0.4248067350691901
79,0.5889861118202752,-5.122550161829054e-10,5.0,19300.0,1e-07,0.4542596413716644
80,0.5391498524309547,2.7462746582038178e-09,6.0,23300.0,1e-07,0.8237758058322777
81,0.5841932071859148,-4.4734504989207835e-10,4.0,16200.0,1e-07,0.5260094090121047
82,0.44609779328682003,-4.151290856208023e-11,3.0,12800.0,1e-07,0.3655681220538759
83,0.6597052564443568,6.861859830342709e-09,6.0,23000.0,1e-07,0.2452324658163837
84,0.5234122144687141,2.832005822905881e-08,4.0,16200.0,1e-07,0.5440762607632871
85,0.4497219594096618,-9.025536276685564e-08,7.0,26700.0,1e-07,0.2325448424340807
86,0.4356531085370596,5.915470439876724e-09,2.0,9300.0,1e-07,0.4549043439143441
87,0.2763526943375541,-3.7455410994979843e-10,3.0,12500.0,1e-07,0.2528752040691158
88,0.8896070915088483,3.613499777177509e-10,6.0,23400.0,1e-07,0.795467572091523
89,0.4159784793668503,-9.906744824483837e-08,5.0,19400.0,1e-07,0.273920702991287
90,0.4329292131241979,1.141924250491267e-09,5.0,19800.0,1e-07,0.662458067149148
91,0.5019196557952721,3.047458119187496e-12,7.0,26500.0,1e-07,0.8346013419058189
92,0.42895116069941436,3.4123907172167733e-10,8.0,30300.0,1e-07,0.8824050904966827
93,0.6434946075605337,9.169290327015744e-12,7.0,26600.0,1e-07,0.5512280315258227
94,0.6749695881319524,2.5683587201452696e-11,3.0,12600.0,1e-07,0.6696148147961765
95,0.6127920791734606,2.9373396076559644e-12,5.0,19400.0,1e-07,0.807569931229112
96,0.03424427423661519,-2.8778136124119058e-11,14.0,52400.0,1e-07,0.27820191279733963
97,0.38866327927180483,8.696959359275058e-10,4.0,15900.0,1e-07,0.31441909008901414
98,0.7682358424840735,9.559304806061597e-09,4.0,16100.0,1e-07,0.8601912749407135
99,0.3132388772021264,-5.178971140828992e-10,4.0,16000.0,1e-07,0.225426897043969
100,0.3438499449211182,4.6719466732791926e-09,10.0,36800.0,1e-07,0.7381333991411909
101,0.48680555584550206,3.0772024400826936e-08,6.0,23300.0,1e-07,0.6314094725582762
102,0.331133517698092,-4.761220327720306e-09,3.0,12700.0,1e-07,0.3670181971253911
103,0.06450006813353079,-5.072331443756184e-14,7.0,27300.0,1e-07,0.26556620739006664
104,0.7974391150130614,1.4055977988307322e-08,5.0,19800.0,1e-07,0.6496915824073223
105,0.7964686013090513,1.5411565079670453e-10,7.0,26300.0,1e-07,0.6696312758422873
106,0.5383772872575656,1.3152362532409256e-10,3.0,12800.0,1e-07,0.43729803936094436
107,0.5618325851216225,1.2218998451940521e-09,8.0,29900.0,1e-07,0.7941079669931833
108,0.45219433572681894,7.908189830069245e-08,4.0,16400.0,1e-07,0.5129043420694485
109,0.46308363458467217,-5.153968918314433e-11,3.0,12600.0,1e-07,0.3847683562308183
110,0.9647567455552465,4.153369440040855e-09,5.0,19700.0,1e-07,0.8271145535431418
111,0.6916129489516157,-1.1152095913402604e-10,7.0,26800.0,1e-07,0.5027794585192736
112,0.058390998380256284,-2.1992034582307696e-10,3.0,19700.0,1e-07,0.046402458433559834
113,0.41630587597359076,1.042721464727947e-11,4.0,16000.0,1e-07,0.30191182898398417
114,0.058188100037621995,-8.106709747934815e-14,3.0,13400.0,1e-07,0.048351674902188724
115,0.7896805497629235,-1.6548616921241432e-09,2.0,9200.0,1e-07,0.787415333930345
116,0.30372317901888785,-8.230777170936676e-12,6.0,23200.0,1e-07,0.7042614777720169
117,0.534589264855738,-4.1590996480156406e-09,2.0,9100.0,1e-07,0.5677612896679667
118,0.2910207818801181,-1.5879506043425806e-11,6.0,23200.0,1e-07,0.12200557815604507
119,0.5554373637572361,-1.3717027513848734e-11,7.0,30300.0,1e-07,0.6226257759404977
120,0.5837521343809128,4.9683113595433426e-09,5.0,20100.0,1e-07,0.6635254170784141
121,0.25549878672516296,-4.2024161928111425e-11,5.0,19700.0,1e-07,0.055361185070843644
122,0.5670234314983851,-1.4688428251474761e-09,8.0,30600.0,1e-07,0.15972550894048154
123,0.3477898429309288,-1.0364045177624348e-09,4.0,16200.0,1e-07,0.28431811950966723
124,0.1470302208593592,5.200632895846751e-08,9.0,33400.0,1e-07,0.9303427755012917
125,0.6156851085084687,2.4054420027022627e-09,4.0,16100.0,1e-07,0.725603934133578
126,0.5572882859048233,9.902427402369574e-12,6.0,23300.0,1e-07,0.9828901354073185
127,0.11586377578999286,-3.789877439652756e-11,8.0,31101.0,1e-07,0.23646452173625698
128,0.40895595229693243,-2.9677735130517746e-09,6.0,23200.0,1e-07,0.4524753184265248
129,0.35483791934901193,-1.243450695187498e-08,4.0,16000.0,1e-07,0.22773251729282362
130,0.8636520978234989,-4.180633617067997e-10,8.0,30100.0,1e-07,0.3868527802434397
131,0.37397853585766644,-5.595114128953416e-09,2.0,9100.0,1e-07,0.36731218026970847
132,0.7198842592643325,3.818283125789357e-08,7.0,26600.0,1e-07,0.9898966567149067
133,0.7329894022220131,1.0294723407078266e-10,6.0,22900.0,1e-07,0.9158834335044265
134,0.6162158378443287,6.310230116213233e-14,3.0,12500.0,1e-07,0.6396995281548697
135,0.8139424404180241,1.6427647714367666e-09,2.0,9100.0,1e-07,0.8113804055747557
136,0.06624430017834917,-2.812380976453116e-08,9.0,34600.0,1e-07,0.29061822140993665
137,0.6284576873634296,-5.224837840156482e-09,2.0,9400.0,1e-07,0.6222568035199273
138,0.5813132446730938,-4.657572494348727e-09,9.0,33300.0,1e-07,0.1365575720764306
139,0.14947956756051484,-6.585045808291112e-08,3.0,12500.0,1e-07,0.12537974777865601
140,0.5059453804858765,9.116818411314398e-12,4.0,16200.0,1e-07,0.48585927100559734
141,0.6228577667662483,3.71806752053061e-13,5.0,19300.0,1e-07,0.385396928946242
142,0.5839989639504267,2.764692086376641e-10,3.0,12800.0,1e-07,0.6727033691259858
143,0.7642840920272244,1.1117373688307453e-10,7.0,26300.0,1e-07,0.960594317440223
144,0.5597891850452484,-1.5600916947189347e-08,7.0,26500.0,1e-07,0.04916576690480845
145,0.38516643875061757,6.513361069243606e-08,9.0,33100.0,1e-07,0.9952346855480708
146,0.49962824103015646,2.6924275309259116e-11,4.0,16300.0,1e-07,0.6772090540510547
