,x0,f(x0),Iterações,Tempo,Epsilon,Valor inicial
606,0.5184379515331011,-2.1951487849669604e-09,3.0,19901.0,1e-07,0.37594622778764264
607,0.7019303869734851,5.4643789493269423e-17,4.0,25900.0,1e-07,0.9282809801925519
608,0.2269618032513809,2.7755575615628914e-17,3.0,20100.0,1e-07,0.28827844203734443
609,0.9075808405428867,-9.72569247359445e-13,3.0,19900.0,1e-07,0.8232167234464097
610,0.8207557227500178,3.260199887833437e-10,5.0,32200.0,1e-07,0.6345029252123925
611,0.2992152854535586,-2.9027315551211075e-09,2.0,13600.0,1e-07,0.2698784002818635
612,0.7415488977389758,-4.163336342344337e-17,3.0,20100.0,1e-07,0.6782028283914027
613,0.7690993361778096,1.6049367390635894e-10,4.0,25500.0,1e-07,0.8314843751779394
614,0.24209760788374415,-1.5323770030661876e-11,3.0,20101.0,1e-07,0.030256008258244482
615,0.41184152384154415,-7.285535269518917e-08,3.0,19700.0,1e-07,0.07594009252793832
616,0.6181563360702522,1.6116266154941883e-08,3.0,19900.0,1e-07,0.7899347687898637
617,0.0854334642342826,1.5987211554602254e-14,4.0,26500.0,1e-07,0.2986117479525816
618,0.25174566008101557,-5.944356866113831e-09,2.0,14200.0,1e-07,0.3010957977753308
619,0.8402111447713843,-6.938893903907228e-17,2.0,13800.0,1e-07,0.8433452049850353
620,0.07490007284089491,-1.2640687108156357e-12,2.0,14200.0,1e-07,0.05692912450188159
621,0.5959794155119289,1.1082497142211878e-09,5.0,32600.0,1e-07,0.41985100289673627
622,0.4245268289146837,2.6283600296217458e-11,2.0,14200.0,1e-07,0.3954354862014262
623,0.39920882896344184,1.7763568394002505e-15,2.0,13900.0,1e-07,0.4082703593573914
624,0.4620881628148908,-5.6407176568518125e-08,4.0,26200.0,1e-07,0.06477231932764627
625,0.3415868090158451,-4.730937863683948e-13,2.0,14000.0,1e-07,0.3546456450603762
626,0.22380121686706986,-2.399999712854317e-10,4.0,26400.0,1e-07,0.5255874758574884
627,0.2818945573490058,-5.312590645178972e-18,4.0,26300.0,1e-07,0.5771885481841458
628,0.5670124452098523,9.276637429056489e-08,3.0,20200.0,1e-07,0.4108149850525873
629,0.8831873684740082,9.008638279794923e-11,2.0,13900.0,1e-07,0.8618211342586951
630,0.8987636394986147,-3.213818100533672e-12,2.0,14000.0,1e-07,0.8733930348270543
631,0.5504312728173897,2.986724929876505e-11,2.0,13800.0,1e-07,0.5757893517006963
632,0.604308371808128,7.375814140009318e-08,4.0,25900.0,1e-07,0.9135688867691689
633,0.537381270291358,-2.60062804624539e-12,3.0,42300.0,1e-07,0.6747451934411837
